Y Position (in), HTC (W/m^2-K)
-4.937999999999999723e+00,3.944551159249260309e+03
-4.866200365226790225e+00,3.944551159249260309e+03
-4.789877595013161127e+00,3.934961597775540213e+03
-4.713554824799532028e+00,3.925377073051252410e+03
-4.637232054585903818e+00,3.915797584371014636e+03
-4.560909284372274719e+00,3.906223131033774735e+03
-4.484586514158644732e+00,3.896653712342806102e+03
-4.408263743945015634e+00,3.887089327605722701e+03
-4.331940973731387423e+00,3.877529976134477238e+03
-4.255618203517758324e+00,3.867975657245367984e+03
-4.179295433304129226e+00,3.858426370259046962e+03
-4.102972663090500127e+00,3.848882114500522675e+03
-4.026649892876871029e+00,3.839342889299163744e+03
-3.950327122663242374e+00,3.829808693988715731e+03
-3.874004352449613275e+00,3.820279527907281135e+03
-3.797681582235984177e+00,3.810755390397356678e+03
-3.721358812022355522e+00,3.801236280805814204e+03
-3.645036041808726868e+00,3.791722198483913417e+03
-3.568713271595097325e+00,3.782213142787316428e+03
-3.492390501381468226e+00,3.772709113076080484e+03
-3.416067731167839572e+00,3.763210108714669332e+03
-3.339744960954210473e+00,3.753716129071957312e+03
-3.263422190740581375e+00,3.744227173521239365e+03
-3.187099420526952720e+00,3.734743241440228758e+03
-3.110776650313323621e+00,3.725264332211070268e+03
-3.034453880099694523e+00,3.715790445220340189e+03
-2.958131109886065424e+00,3.706321579859055419e+03
-2.881808339672436770e+00,3.696857735522679377e+03
-2.805485569458807227e+00,3.687398911611124731e+03
-2.729162799245178572e+00,3.677945107528762037e+03
-2.652840029031549474e+00,3.668496322684425195e+03
-2.576517258817920819e+00,3.659052556491416908e+03
-2.500194488604291720e+00,3.649613808367512320e+03
-2.423871718390662178e+00,3.640180077734965835e+03
-2.347548948177033523e+00,3.630751364020542042e+03
-2.271226177963404425e+00,3.621327666655327448e+03
-2.194903407749775770e+00,3.611908985075962391e+03
-2.118580637536147115e+00,3.602495318717897590e+03
-2.042257867322518017e+00,3.593086667048925392e+03
-1.965935097108889584e+00,3.583683029414289194e+03
-1.889612326895274252e+00,3.574284405714881359e+03
-1.813289556681562109e+00,3.564890793564894921e+03
-1.736966786468139068e+00,3.555502199751545049e+03
-1.660644016253567834e+00,3.546118595729056779e+03
-1.584321246046803688e+00,3.536740083770659112e+03
-1.507998475808065120e+00,3.527366304576760285e+03
-1.431675705626655803e+00,3.517998426284335437e+03
-1.355352935022711369e+00,3.508633044254415836e+03
-1.279030167016915076e+00,3.499277967646683919e+03
-1.202707395569122539e+00,3.489927687713930482e+03
-1.126384692583169311e+00,3.480494625334232751e+03
-1.050062974449293973e+00,3.471769983874615264e+03
-9.737596439320150843e-01,3.458942413191908599e+03
-8.978572446055478329e-01,3.469275501415479539e+03
-8.304496864306949444e-01,3.625296778052946138e+03
-7.780990772245102161e-01,3.910278872148148821e+03
-7.248196804068668397e-01,4.226960077745306080e+03
-6.702890106683364602e-01,4.577105951317562358e+03
-6.165236285079662704e-01,4.981651509282591178e+03
-5.625248106847976493e-01,5.443133371779395929e+03
-5.085372455300246619e-01,5.975484035908038095e+03
-4.546074501077029817e-01,6.594708170998657806e+03
-4.005786438831867025e-01,7.318452806689982026e+03
-3.466202693717622685e-01,8.174221912270058965e+03
-2.930146674719777411e-01,9.200971831483428105e+03
-2.376014529408750076e-01,1.038694817815127863e+04
-1.866949688460436130e-01,1.193326263179285525e+04
-1.330958153118452780e-01,1.355808911776244349e+04
-5.562483542175122864e-02,1.360289818816531806e+04
1.880732580595111808e-02,1.356556269723853256e+04
9.543338304966181296e-02,1.299089265095696283e+04
1.711312715038604271e-01,1.155749067210583235e+04
2.450184090118461000e-01,9.957676829913796610e+03
3.191050457682735320e-01,8.782991327193421967e+03
3.931348478885250963e-01,7.808211938206457489e+03
4.671812860556612268e-01,6.988866449420974277e+03
5.412230109612696793e-01,6.286555537967617056e+03
6.152660500030358026e-01,5.679184349690508498e+03
6.893087274721768631e-01,5.150079378520588762e+03
7.633515032382852672e-01,4.686259863628625681e+03
8.373942526158256738e-01,4.277795156744201449e+03
9.114370090148059544e-01,3.916595487693539326e+03
9.854797635630301311e-01,3.596021281540275595e+03
1.059522518594005369e+00,3.310556703437098804e+03
1.133565273500075854e+00,3.055577912879785799e+03
1.207608028438173831e+00,2.827137003887512037e+03
1.281650783368143198e+00,2.622000265617645709e+03
1.355693538300156487e+00,2.437253364470457200e+03
1.429736293231659960e+00,2.270456006519666062e+03
1.503779048163290222e+00,2.119499676840829579e+03
1.577821803094891839e+00,1.982559709798207223e+03
1.651864558026499674e+00,1.858050687619819655e+03
1.725907312958106843e+00,1.744591739497667731e+03
1.799950067889713567e+00,1.640976914132947059e+03
1.873992822821319848e+00,1.546151261989538398e+03
1.948035577752927461e+00,1.459189191482777005e+03
2.022078332684535074e+00,1.379277140787839699e+03
2.096121087616138912e+00,1.305698577213044246e+03
2.170163842547744970e+00,1.237821075023076446e+03
