Y Position (in), Gas Temperature (K)
-4.937999999999999723e+00,3.243269074882395671e+03
-4.866200365226790225e+00,3.243269074882395671e+03
-4.789877595013161127e+00,3.243266658021846069e+03
-4.713554824799532028e+00,3.243264241287529785e+03
-4.637232054585903818e+00,3.243261824679433175e+03
-4.560909284372274719e+00,3.243259408197546691e+03
-4.484586514158644732e+00,3.243256991841857598e+03
-4.408263743945015634e+00,3.243254575612355438e+03
-4.331940973731387423e+00,3.243252159509027933e+03
-4.255618203517758324e+00,3.243249743531863714e+03
-4.179295433304129226e+00,3.243247327680851868e+03
-4.102972663090500127e+00,3.243244911955981024e+03
-4.026649892876871029e+00,3.243242496357238906e+03
-3.950327122663242374e+00,3.243240080884615054e+03
-3.874004352449613275e+00,3.243237665538097190e+03
-3.797681582235984177e+00,3.243235250317673945e+03
-3.721358812022355522e+00,3.243232835223335314e+03
-3.645036041808726868e+00,3.243230420255067656e+03
-3.568713271595097325e+00,3.243228005412861876e+03
-3.492390501381468226e+00,3.243225590696703875e+03
-3.416067731167839572e+00,3.243223176106584560e+03
-3.339744960954210473e+00,3.243220761642490743e+03
-3.263422190740581375e+00,3.243218347304412873e+03
-3.187099420526952720e+00,3.243215933092337764e+03
-3.110776650313323621e+00,3.243213519006254955e+03
-3.034453880099694523e+00,3.243211105046152625e+03
-2.958131109886065424e+00,3.243208691212019403e+03
-2.881808339672436770e+00,3.243206277503844376e+03
-2.805485569458807227e+00,3.243203863921615721e+03
-2.729162799245178572e+00,3.243201450465322068e+03
-2.652840029031549474e+00,3.243199037134952050e+03
-2.576517258817920819e+00,3.243196623930493843e+03
-2.500194488604291720e+00,3.243194210851936077e+03
-2.423871718390662178e+00,3.243191797899268295e+03
-2.347548948177033523e+00,3.243189385072478217e+03
-2.271226177963404425e+00,3.243186972371554930e+03
-2.194903407749775770e+00,3.243184559796485246e+03
-2.118580637536147115e+00,3.243182147347268710e+03
-2.042257867322518017e+00,3.243179735023838475e+03
-1.965935097108889584e+00,3.243177322826434192e+03
-1.889612326895274252e+00,3.243174910753964014e+03
-1.813289556681562109e+00,3.243172498810887646e+03
-1.736966786468139068e+00,3.243170086979374446e+03
-1.660644016253567834e+00,3.243167675327789311e+03
-1.584321246046803688e+00,3.243165263604390475e+03
-1.507998475808065120e+00,3.243162852690507407e+03
-1.431675705626655803e+00,3.243160439706224679e+03
-1.355352935022711369e+00,3.243158033065868949e+03
-1.279030167016915076e+00,3.243155613413934134e+03
-1.202707395569122539e+00,3.243153194359033478e+03
-1.126384692583169311e+00,3.243150995129503826e+03
-1.050062974449293973e+00,3.243147031204908217e+03
-9.737596439320150843e-01,3.243153409732887667e+03
-8.978572446055478329e-01,3.243101324037063023e+03
-8.304496864306949444e-01,3.242667025694906897e+03
-7.780990772245102161e-01,3.241830722874417006e+03
-7.248196804068668397e-01,3.240797452819200316e+03
-6.702890106683364602e-01,3.239521271273118145e+03
-6.165236285079662704e-01,3.237866048227256670e+03
-5.625248106847976493e-01,3.235724839977816373e+03
-5.085372455300246619e-01,3.232895238684267497e+03
-4.546074501077029817e-01,3.229073729892535994e+03
-4.005786438831867025e-01,3.223795527893762483e+03
-3.466202693717622685e-01,3.216239688561757248e+03
-2.930146674719777411e-01,3.204847772195887046e+03
-2.376014529408750076e-01,3.187335060314843759e+03
-1.866949688460436130e-01,3.152535871551026048e+03
-1.330958153118452780e-01,3.055719655570826490e+03
-5.562483542175122864e-02,3.020693842041292100e+03
1.880732580595111808e-02,3.019573195213968575e+03
9.543338304966181296e-02,2.956365985271362206e+03
1.711312715038604271e-01,2.871887574602835684e+03
2.450184090118461000e-01,2.783027148118887908e+03
3.191050457682735320e-01,2.715100791946311347e+03
3.931348478885250963e-01,2.654684692288224142e+03
4.671812860556612268e-01,2.599696651461270449e+03
5.412230109612696793e-01,2.548470904351917397e+03
6.152660500030358026e-01,2.500271437746872834e+03
6.893087274721768631e-01,2.454595930395806135e+03
7.633515032382852672e-01,2.411104734834382725e+03
8.373942526158256738e-01,2.369566403947707840e+03
9.114370090148059544e-01,2.329806873087753956e+03
9.854797635630301311e-01,2.291690924137345064e+03
1.059522518594005369e+00,2.255109208954640508e+03
1.133565273500075854e+00,2.219971565927507072e+03
1.207608028438173831e+00,2.186195077054103422e+03
1.281650783368143198e+00,2.153720347675753601e+03
1.355693538300156487e+00,2.122477462057211142e+03
1.429736293231659960e+00,2.092408746406710634e+03
1.503779048163290222e+00,2.063459964961413789e+03
1.577821803094891839e+00,2.035580047874912680e+03
1.651864558026499674e+00,2.008720367549457023e+03
1.725907312958106843e+00,1.982834493941310711e+03
1.799950067889713567e+00,1.957877952302310860e+03
1.873992822821319848e+00,1.933808226408631072e+03
1.948035577752927461e+00,1.910584538768264565e+03
2.022078332684535074e+00,1.888167844071889022e+03
2.096121087616138912e+00,1.866520789502788375e+03
2.170163842547744970e+00,1.845607653269672483e+03
