X Position (in), Y Position (in)
-5.609841953253951630e+00,1.350000000000000089e+00
-5.529993409862015596e+00,1.350000000000000089e+00
-5.450144866470078675e+00,1.350000000000000089e+00
-5.370296323078142642e+00,1.350000000000000089e+00
-5.290447779686206609e+00,1.350000000000000089e+00
-5.210599236294269687e+00,1.350000000000000089e+00
-5.130750692902333654e+00,1.350000000000000089e+00
-5.050902149510397621e+00,1.350000000000000089e+00
-4.971053606118460699e+00,1.350000000000000089e+00
-4.891205062726524666e+00,1.350000000000000089e+00
-4.811356519334588633e+00,1.350000000000000089e+00
-4.731507975942651711e+00,1.350000000000000089e+00
-4.651659432550715678e+00,1.350000000000000089e+00
-4.571810889158779645e+00,1.350000000000000089e+00
-4.491962345766843612e+00,1.350000000000000089e+00
-4.412113802374906690e+00,1.350000000000000089e+00
-4.332265258982970657e+00,1.350000000000000089e+00
-4.252416715591033736e+00,1.350000000000000089e+00
-4.172568172199097702e+00,1.350000000000000089e+00
-4.092719628807161669e+00,1.350000000000000089e+00
-4.012871085415225636e+00,1.350000000000000089e+00
-3.933022542023288715e+00,1.350000000000000089e+00
-3.853173998631352681e+00,1.350000000000000089e+00
-3.773325455239416204e+00,1.350000000000000089e+00
-3.693476911847479727e+00,1.350000000000000089e+00
-3.613628368455543693e+00,1.350000000000000089e+00
-3.533779825063607216e+00,1.350000000000000089e+00
-3.453931281671670739e+00,1.350000000000000089e+00
-3.374082738279734706e+00,1.350000000000000089e+00
-3.294234194887798228e+00,1.350000000000000089e+00
-3.214385651495861751e+00,1.350000000000000089e+00
-3.134537108103925718e+00,1.350000000000000089e+00
-3.054688564711989240e+00,1.350000000000000089e+00
-2.974840021320052763e+00,1.350000000000000089e+00
-2.894991477928116730e+00,1.350000000000000089e+00
-2.815142934536180253e+00,1.350000000000000089e+00
-2.735294391144243775e+00,1.350000000000000089e+00
-2.655445847752307742e+00,1.350000000000000089e+00
-2.575597304360371265e+00,1.350000000000000089e+00
-2.495748760968434787e+00,1.350000000000000089e+00
-2.415900217576498754e+00,1.350000000000000089e+00
-2.336051674184562277e+00,1.350000000000000089e+00
-2.256203130792625799e+00,1.350000000000000089e+00
-2.176354587400689766e+00,1.350000000000000089e+00
-2.096506044008753289e+00,1.350000000000000089e+00
-2.016657500616816812e+00,1.350000000000000089e+00
-1.936808957224880778e+00,1.350000000000000089e+00
-1.856960413832944301e+00,1.350000000000000089e+00
-1.777111870441007824e+00,1.350000000000000089e+00
-1.697263327049071790e+00,1.350000000000000089e+00
-1.617414783657135313e+00,1.350000000000000089e+00
-1.537566240265198836e+00,1.346376715416586878e+00
-1.457717696873262803e+00,1.300276137394853038e+00
-1.377869153481326769e+00,1.254175559373119420e+00
-1.298020610089389848e+00,1.208074981351384913e+00
-1.218172066697453815e+00,1.161974403329651295e+00
-1.138323523305517782e+00,1.115873825307917455e+00
-1.058474979913580860e+00,1.069773247286183171e+00
-9.786264365216448269e-01,1.023672669264449331e+00
-8.987778931297087937e-01,9.775720912427156017e-01
-8.189293497377718722e-01,9.314715132209813175e-01
-7.390808063458358390e-01,8.853709351992475884e-01
-6.592322629538998058e-01,8.392703571775137483e-01
-5.793837195619628844e-01,7.931697791557794641e-01
-4.995351761700268511e-01,7.470692011340457350e-01
-4.196866327780908179e-01,7.009686231123118949e-01
-3.398380893861538965e-01,6.548680450905776107e-01
-2.599895459942178633e-01,6.087674670688438816e-01
-1.801410026022818300e-01,6.029999999999999805e-01
-1.002924592103449086e-01,6.029999999999999805e-01
-2.044391581840887540e-02,6.029999999999999805e-01
5.940462757352715784e-02,6.029999999999999805e-01
1.392531709654640792e-01,6.029999999999999805e-01
2.191017143574001125e-01,6.029999999999999805e-01
2.989502577493361457e-01,6.161161820332299310e-01
3.787988011412730671e-01,6.375115347519009212e-01
4.586473445332091003e-01,6.589068874705715784e-01
5.384958879251451336e-01,6.803022401892423465e-01
6.183444313170820550e-01,7.016975929079132257e-01
6.981929747090180882e-01,7.230929456265839939e-01
7.780415181009541215e-01,7.444882983452547620e-01
8.578900614928910429e-01,7.658836510639256412e-01
9.377386048848270761e-01,7.872790037825964093e-01
1.017587148276763109e+00,8.086743565012670665e-01
1.097435691668700031e+00,8.300697092199380567e-01
1.177284235060636064e+00,8.514650619386088248e-01
1.257132778452572097e+00,8.728604146572794820e-01
1.336981321844509019e+00,8.942557673759503611e-01
1.416829865236445052e+00,9.156511200946211293e-01
1.496678408628381085e+00,9.370464728132918975e-01
1.576526952020318006e+00,9.584418255319628877e-01
1.656375495412254040e+00,9.798371782506335448e-01
1.736224038804190073e+00,1.001232530969304202e+00
1.816072582196126994e+00,1.022627883687975192e+00
1.895921125588063028e+00,1.044023236406645960e+00
1.975769668979999061e+00,1.065418589125316728e+00
2.055618212371935982e+00,1.086813941843987497e+00
2.135466755763872015e+00,1.108209294562658265e+00
2.215315299155808049e+00,1.129604647281329033e+00
2.295163842547744970e+00,1.151000000000000023e+00
