Z Position (m), HTC (W/m^2-K)
-6.00E+00,3.965029316419700990e+03
-5.92E+00,3.965029316419700990e+03
-5.84E+00,3.965029316419700990e+03
-5.76E+00,3.965029316419700990e+03
-5.67E+00,3.965029316419700990e+03
-5.59E+00,3.965029316419700990e+03
-5.51E+00,3.965029316419700990e+03
-5.43E+00,3.965029316419700990e+03
-5.35E+00,3.965029316419700990e+03
-5.27E+00,3.965029316419700990e+03
-5.19E+00,3.965029316419700990e+03
-5.11E+00,3.965029316419700990e+03
-5.02E+00,3.965029316419700990e+03
-4.94E+00,3.965029316419700990e+03
-4.86E+00,3.965029316419700990e+03
-4.78E+00,3.965029316419700990e+03
-4.70E+00,3.965029316419700990e+03
-4.62E+00,3.965029316419700990e+03
-4.54E+00,3.965029316419700990e+03
-4.45E+00,3.965029316419700990e+03
-4.37E+00,3.965029316419700990e+03
-4.29E+00,3.965029316419700990e+03
-4.21E+00,3.965029316419700990e+03
-4.13E+00,3.965029316419700990e+03
-4.05E+00,3.965029316419700990e+03
-3.97E+00,3.965029316419700990e+03
-3.89E+00,3.965029316419700990e+03
-3.80E+00,3.965029316419700990e+03
-3.72E+00,3.965029316419700990e+03
-3.64E+00,3.965029316419700990e+03
-3.56E+00,3.965029316419700990e+03
-3.48E+00,3.965029316419700990e+03
-3.40E+00,3.965029316419700990e+03
-3.32E+00,3.965029316419700990e+03
-3.24E+00,3.965029316419700990e+03
-3.15E+00,3.965029316419700990e+03
-3.07E+00,3.965029316419700990e+03
-2.99E+00,3.965029316419700990e+03
-2.91E+00,3.965029316419700990e+03
-2.83E+00,3.965029316419700990e+03
-2.75E+00,3.965029316419700990e+03
-2.67E+00,3.965029316419700990e+03
-2.58E+00,3.965029316419700990e+03
-2.50E+00,3.965029316419700990e+03
-2.42E+00,3.965029316419700990e+03
-2.34E+00,3.965029316419700990e+03
-2.26E+00,3.965029316419700990e+03
-2.18E+00,3.965029316419700990e+03
-2.10E+00,3.965029316419700990e+03
-2.02E+00,3.965029316419700990e+03
-1.93E+00,3.965029316419700990e+03
-1.85E+00,3.952971413809420937e+03
-1.77E+00,3.958698533418338684e+03
-1.69E+00,3.991321405301555842e+03
-1.61E+00,4.048401837306220841e+03
-1.53E+00,4.131165920482318143e+03
-1.46E+00,4.242962367747097232e+03
-1.38E+00,4.386162955030361445e+03
-1.31E+00,4.566725871923266823e+03
-1.23E+00,4.792968198715304425e+03
-1.16E+00,5.059862771450963919e+03
-1.09E+00,5.360648127146256229e+03
-1.02E+00,5.698298284157737726e+03
-9.52E-01,6.077547843258276771e+03
-8.83E-01,6.503853842799246195e+03
-8.13E-01,6.983478330837566318e+03
-7.43E-01,7.523475639719673381e+03
-6.74E-01,8.131445862575935280e+03
-6.04E-01,8.815517949348401089e+03
-5.33E-01,9.584007305037026526e+03
-4.63E-01,1.044449760507118117e+04
-3.91E-01,1.138151129929790841e+04
-3.17E-01,1.224540937556342578e+04
-2.40E-01,1.295175260823741155e+04
-1.61E-01,1.343413964362687693e+04
-8.09E-02,1.363393091736689348e+04
0.000000000000000000e+00,1.351874287560693483e+04
7.836538260085092189e-02,1.241056923359094071e+04
1.554905683795929083e-01,1.089952533376018800e+04
2.299282841313456949e-01,9.185500189515376405e+03
3.017594982258766656e-01,7.588905252903199653e+03
3.737354275693641759e-01,6.381958104389109394e+03
4.460363056038632590e-01,5.448211979454613356e+03
5.186524518659786365e-01,4.709066641332648942e+03
5.915673864314344721e-01,4.113972867095393667e+03
6.647652108027749529e-01,3.628287538031174336e+03
7.382309873762035179e-01,3.227295712669300883e+03
8.119506702215030236e-01,2.892805809696334109e+03
8.859110421169469340e-01,2.611342613736134808e+03
9.600996603110775185e-01,2.372445792471145978e+03
1.034504807289059469e+00,2.168124385253760920e+03
1.109115443989302507e+00,1.992130980515316651e+03
1.183921165843063728e+00,1.839533863702341478e+03
1.258912162998591322e+00,1.706404285209456020e+03
1.334079182948506359e+00,1.589587005083790473e+03
1.409413501976741756e+00,1.486528325305836006e+03
1.484906823562738953e+00,1.395146377567776426e+03
1.560550739106629337e+00,1.313725162437892095e+03
1.636339975735494168e+00,1.240880578791435937e+03
