Y Position (in), HTC (W/m^2-K)
-5.609841953253951630e+00,3.944551159249260309e+03
-5.529993409862015596e+00,3.944551159249260309e+03
-5.447128910593297846e+00,3.935615100854174671e+03
-5.364264411324579207e+00,3.926683416002622380e+03
-5.281399912055860568e+00,3.917756104123493060e+03
-5.198535412787142818e+00,3.908833164648951424e+03
-5.115670913518424179e+00,3.899914597014417268e+03
-5.032806414249706428e+00,3.891000400658584567e+03
-4.949941914980987789e+00,3.882090575023413749e+03
-4.867077415712270039e+00,3.873185119554145786e+03
-4.784212916443551400e+00,3.864284033699294923e+03
-4.701348417174833649e+00,3.855387316910667323e+03
-4.618483917906115011e+00,3.846494968643342872e+03
-4.535619418637397260e+00,3.837606988355702470e+03
-4.452754919368678621e+00,3.828723375509423931e+03
-4.369890420099960870e+00,3.819844129569466531e+03
-4.287025920831242232e+00,3.810969250004112382e+03
-4.204161421562523593e+00,3.802098736284931874e+03
-4.121296922293805842e+00,3.793232587886812780e+03
-4.038432423025088092e+00,3.784370804287954797e+03
-3.955567923756369453e+00,3.775513384969875460e+03
-3.872703424487651258e+00,3.766660329417411049e+03
-3.789838925218932619e+00,3.757811637118722956e+03
-3.706974425950214869e+00,3.748967307565307237e+03
-3.624109926681496230e+00,3.740127340251983242e+03
-3.541245427412778035e+00,3.731291734676912256e+03
-3.458380928144059396e+00,3.722460490341599325e+03
-3.375516428875341646e+00,3.713633606750885065e+03
-3.292651929606623451e+00,3.704811083412967946e+03
-3.209787430337905256e+00,3.695992919839390197e+03
-3.126922931069187062e+00,3.687179115545088735e+03
-3.044058431800469311e+00,3.678369670048147782e+03
-2.961193932531750672e+00,3.669564582871103084e+03
-2.878329433263032477e+00,3.660763853534630016e+03
-2.795464933994316503e+00,3.651967481586842950e+03
-2.712600434725583209e+00,3.643175466472487642e+03
-2.629735935456896545e+00,3.634387808099729227e+03
-2.546871436187811533e+00,3.625604504442786038e+03
-2.464006936921987023e+00,3.616825561481261957e+03
-2.381142437640225928e+00,3.608050952700652033e+03
-2.298277938405982379e+00,3.599280781571990701e+03
-2.215413439050338162e+00,3.590514638969560565e+03
-2.132548940632218670e+00,3.581754110202782613e+03
-2.049684436861719306e+00,3.572993123326955356e+03
-1.966819952377055314e+00,3.564254607520265836e+03
-1.883955438291765816e+00,3.555453218412187198e+03
-1.801091132275971507e+00,3.546901578867013086e+03
-1.718225662267899745e+00,3.537474573920126204e+03
-1.635368721283638083e+00,3.531124144610703752e+03
-1.552592779875876516e+00,3.522930809861411490e+03
-1.478404262414992010e+00,3.684802911878909072e+03
-1.408113813314084029e+00,3.907676002563980092e+03
-1.335859010781863754e+00,4.133037748614465272e+03
-1.264254776070403485e+00,4.387506990269273956e+03
-1.192446666053861293e+00,4.665195273512437780e+03
-1.120695649715255149e+00,4.972653119731984589e+03
-1.048930289851712550e+00,5.313263682285195500e+03
-9.771679409092852708e-01,5.692338909539620545e+03
-9.054052070694484922e-01,6.115900806689573983e+03
-8.336422474176184982e-01,6.591250675342135764e+03
-7.618802600853602502e-01,7.127233297286995366e+03
-6.901144524808590086e-01,7.734408611568432207e+03
-6.183626637850795360e-01,8.426260823933916981e+03
-5.465640060670509115e-01,9.216360998756992558e+03
-4.749073977167053706e-01,1.013026380031825283e+04
-4.028780654408452011e-01,1.116529768033316032e+04
-3.316840702236579785e-01,1.239123433331134402e+04
-2.598777503186276983e-01,1.363838389815009214e+04
-1.801410026022818300e-01,1.371234402796055838e+04
-9.274433887545495414e-02,1.367478218084098989e+04
-7.931855791187927482e-03,1.363842870049444355e+04
7.687880095859817020e-02,1.360210598651970759e+04
1.616824754205064274e-01,1.356078038096096134e+04
2.463126971645064889e-01,1.257943645876233313e+04
3.291563216543613168e-01,1.078989101471987851e+04
4.109457243155406614e-01,9.273460286571502365e+03
4.929016331859757405e-01,8.122082241963062188e+03
5.748137646877394813e-01,7.169159277819644558e+03
6.567375270856404823e-01,6.370906364028533062e+03
7.386582338555830463e-01,5.691472285345810633e+03
8.205797396038811975e-01,5.108422263439291783e+03
9.025010379227724755e-01,4.604193685287740664e+03
9.844223897925729050e-01,4.165721800733012969e+03
1.066343727938400932e+00,3.782554621828289328e+03
1.148265069580810538e+00,3.446265918931719625e+03
1.230186410339564107e+00,3.149965571795896722e+03
1.312107751320178428e+00,2.887907706769707147e+03
1.394029092245605117e+00,2.655454131750617762e+03
1.475950433184640254e+00,2.448526006462256191e+03
1.557871774120355601e+00,2.263755897034341615e+03
1.639793115056873418e+00,2.098283015870159943e+03
1.721714455993198944e+00,1.949667138303514776e+03
1.803635796929570434e+00,1.815819254733667094e+03
1.885557137865930599e+00,1.694945175839623062e+03
1.967478478802293207e+00,1.585499087454229766e+03
2.049399819738655815e+00,1.486146283258249468e+03
2.131321160675018422e+00,1.395729937620968030e+03
2.213242501611382362e+00,1.313246287319538624e+03
2.295163842547744970e+00,1.237821075023077128e+03
