Y Position (in), Gas Temperature (K)
6.000000000000000000e+00,3.243225089644417949e+03
5.918681325958131900e+00,3.243225089644417949e+03
5.837362651916262912e+00,3.243225089644417949e+03
5.756043977874394812e+00,3.243225089644417949e+03
5.674725303832526713e+00,3.243225089644417949e+03
5.593406629790658613e+00,3.243225089644417949e+03
5.512087955748789625e+00,3.243225089644417949e+03
5.430769281706921525e+00,3.243225089644417949e+03
5.349450607665053425e+00,3.243225089644417949e+03
5.268131933623184437e+00,3.243225089644417949e+03
5.186813259581316338e+00,3.243225089644417949e+03
5.105494585539448238e+00,3.243225089644417949e+03
5.024175911497580138e+00,3.243225089644417949e+03
4.942857237455711150e+00,3.243225089644417949e+03
4.861538563413843050e+00,3.243225089644417949e+03
4.780219889371974951e+00,3.243225089644417949e+03
4.698901215330106851e+00,3.243225089644417949e+03
4.617582541288237863e+00,3.243225089644417949e+03
4.536263867246369763e+00,3.243225089644417949e+03
4.454945193204501663e+00,3.243225089644417949e+03
4.373626519162632675e+00,3.243225089644417949e+03
4.292307845120764576e+00,3.243225089644417949e+03
4.210989171078896476e+00,3.243225089644417949e+03
4.129670497037027488e+00,3.243225089644417949e+03
4.048351822995159388e+00,3.243225089644417949e+03
3.967033148953291288e+00,3.243225089644417949e+03
3.885714474911422744e+00,3.243225089644417949e+03
3.804395800869554645e+00,3.243225089644417949e+03
3.723077126827686101e+00,3.243225089644417949e+03
3.641758452785818001e+00,3.243225089644417949e+03
3.560439778743949457e+00,3.243225089644417949e+03
3.479121104702081357e+00,3.243225089644417949e+03
3.397802430660212814e+00,3.243225089644417949e+03
3.316483756618344270e+00,3.243225089644417949e+03
3.235165082576476170e+00,3.243225089644417949e+03
3.153846408534607626e+00,3.243225089644417949e+03
3.072527734492739526e+00,3.243225089644417949e+03
2.991209060450870982e+00,3.243225089644417949e+03
2.909890386409002883e+00,3.243225089644417949e+03
2.828571712367134339e+00,3.243225089644417949e+03
2.747253038325266239e+00,3.243225089644417949e+03
2.665934364283397695e+00,3.243225089644417949e+03
2.584615690241529151e+00,3.243225089644417949e+03
2.503297016199661051e+00,3.243225089644417949e+03
2.421978342157792508e+00,3.243225089644417949e+03
2.340659668115924408e+00,3.243225089644417949e+03
2.259340994074055864e+00,3.243225089644417949e+03
2.178022320032187764e+00,3.243225089644417949e+03
2.096703645990319220e+00,3.243225089644417949e+03
2.015384971948450676e+00,3.243225089644417949e+03
1.934066297906582355e+00,3.243225089644417949e+03
1.853197086912974800e+00,3.243188648030797594e+03
1.772516845532900565e+00,3.243112365706644141e+03
1.692357175586845397e+00,3.242973487910668609e+03
1.612894957580995881e+00,3.242772833765939140e+03
1.534341110935692809e+00,3.242501319954536484e+03
1.456956537860607304e+00,3.242142042814065462e+03
1.380910427008573693e+00,3.241676520946958590e+03
1.306508876459056223e+00,3.241071073296856866e+03
1.234118396835258924e+00,3.240275133389740404e+03
1.163064382488256721e+00,3.239267674222330697e+03
1.092511580179525543e+00,3.238030712623834461e+03
1.022303544162122435e+00,3.236506167541346713e+03
9.523599581668213965e-01,3.234611812687999645e+03
8.825974893706862723e-01,3.232236257599946384e+03
8.129307996063205310e-01,3.229226009844082455e+03
7.432704118109936253e-01,3.225365648093937580e+03
6.735162060929696937e-01,3.220346888978080642e+03
6.035669983706419828e-01,3.213712381361803182e+03
5.333241609470970035e-01,3.204751128429235450e+03
4.626930420963790702e-01,3.192280284120405668e+03
3.912190762301331337e-01,3.174509463953872910e+03
3.168644888885571720e-01,3.151429135907124873e+03
2.399194830644806598e-01,3.122434736197006259e+03
1.610584999164094699e-01,3.086695115970075221e+03
8.090188160167656461e-02,3.043791307940477964e+03
-0.000000000000000000e+00,2.993469457039751887e+03
-7.836538260085092189e-02,2.920609682989257635e+03
-1.554905683795929083e-01,2.835416737889990600e+03
-2.299282841313456949e-01,2.738853447075131953e+03
-3.017594982258766656e-01,2.640398295869699723e+03
-3.737354275693641759e-01,2.555689834404162866e+03
-4.460363056038632590e-01,2.480796153079628311e+03
-5.186524518659786365e-01,2.413329101798281044e+03
-5.915673864314344721e-01,2.351917282755707220e+03
-6.647652108027749529e-01,2.295661337976307095e+03
-7.382309873762035179e-01,2.243909196150801108e+03
-8.119506702215030236e-01,2.196147794522476033e+03
-8.859110421169469340e-01,2.151972061928907351e+03
-9.600996603110775185e-01,2.111017854334605545e+03
-1.034504807289059469e+00,2.072978276072541121e+03
-1.109115443989302507e+00,2.037582941449243435e+03
-1.183921165843063728e+00,2.004591835194401483e+03
-1.258912162998591322e+00,1.973790740992829114e+03
-1.334079182948506359e+00,1.944987932921384754e+03
-1.409413501976741756e+00,1.918011426548629288e+03
-1.484906823562738953e+00,1.892706608706649604e+03
-1.560550739106629337e+00,1.868932181499792478e+03
-1.636339975735494168e+00,1.846571036673610251e+03
