Y Position (in), Gas Temperature (K)
-5.609841953253951630e+00,3.243269074882395671e+03
-5.529993409862015596e+00,3.243269074882395671e+03
-5.447128910593297846e+00,3.243266822760765081e+03
-5.364264411324579207e+00,3.243264570748744973e+03
-5.281399912055860568e+00,3.243262318846326252e+03
-5.198535412787142818e+00,3.243260067053498915e+03
-5.115670913518424179e+00,3.243257815370254775e+03
-5.032806414249706428e+00,3.243255563796583374e+03
-4.949941914980987789e+00,3.243253312332476980e+03
-4.867077415712270039e+00,3.243251060977924681e+03
-4.784212916443551400e+00,3.243248809732918744e+03
-4.701348417174833649e+00,3.243246558597448711e+03
-4.618483917906115011e+00,3.243244307571505487e+03
-4.535619418637397260e+00,3.243242056655080887e+03
-4.452754919368678621e+00,3.243239805848164451e+03
-4.369890420099960870e+00,3.243237555150746630e+03
-4.287025920831242232e+00,3.243235304562819692e+03
-4.204161421562523593e+00,3.243233054084373634e+03
-4.121296922293805842e+00,3.243230803715398906e+03
-4.038432423025088092e+00,3.243228553455886413e+03
-3.955567923756369453e+00,3.243226303305827514e+03
-3.872703424487651258e+00,3.243224053265211296e+03
-3.789838925218932619e+00,3.243221803334030483e+03
-3.706974425950214869e+00,3.243219553512275525e+03
-3.624109926681496230e+00,3.243217303799935507e+03
-3.541245427412778035e+00,3.243215054197003155e+03
-3.458380928144059396e+00,3.243212804703468464e+03
-3.375516428875341646e+00,3.243210555319321429e+03
-3.292651929606623451e+00,3.243208306044553865e+03
-3.209787430337905256e+00,3.243206056879156222e+03
-3.126922931069187062e+00,3.243203807823119405e+03
-3.044058431800469311e+00,3.243201558876434319e+03
-2.961193932531750672e+00,3.243199310039089596e+03
-2.878329433263032477e+00,3.243197061311086145e+03
-2.795464933994316503e+00,3.243194812692368032e+03
-2.712600434725583209e+00,3.243192564183132163e+03
-2.629735935456896545e+00,3.243190315782484959e+03
-2.546871436187811533e+00,3.243188067494133520e+03
-2.464006936921987023e+00,3.243185819302731943e+03
-2.381142437640225928e+00,3.243183571270539233e+03
-2.298277938405982379e+00,3.243181323148479805e+03
-2.215413439050338162e+00,3.243179075918973922e+03
-2.132548940632218670e+00,3.243176825758613177e+03
-2.049684436861719306e+00,3.243174587349873946e+03
-1.966819952377055314e+00,3.243172305075632266e+03
-1.883955438291765816e+00,3.243170186579808615e+03
-1.801091132275971507e+00,3.243167468947599900e+03
-1.718225662267899745e+00,3.243166905901441623e+03
-1.635368721283638083e+00,3.243158795714436110e+03
-1.552592779875876516e+00,3.243155232154201258e+03
-1.478404262414992010e+00,3.242719695030466028e+03
-1.408113813314084029e+00,3.242083533832776538e+03
-1.335859010781863754e+00,3.241383963988411779e+03
-1.264254776070403485e+00,3.240528378883391724e+03
-1.192446666053861293e+00,3.239510521469038395e+03
-1.120695649715255149e+00,3.238277524609625289e+03
-1.048930289851712550e+00,3.236775263217581141e+03
-9.771679409092852708e-01,3.234925919398314818e+03
-9.054052070694484922e-01,3.232624515576696922e+03
-8.336422474176184982e-01,3.229724133866918692e+03
-7.618802600853602502e-01,3.226014069487054257e+03
-6.901144524808590086e-01,3.221183911955373787e+03
-6.183626637850795360e-01,3.214749258296789776e+03
-5.465640060670509115e-01,3.205950945392186441e+03
-4.749073977167053706e-01,3.193319803441183922e+03
-4.028780654408452011e-01,3.174491434895188377e+03
-3.316840702236579785e-01,3.141197865910608925e+03
-2.598777503186276983e-01,3.060303943039748901e+03
-1.801410026022818300e-01,3.021081872113215923e+03
-9.274433887545495414e-02,3.020596699277756670e+03
-7.931855791187927482e-03,3.020716168675667632e+03
7.687880095859817020e-02,3.021992298883359126e+03
1.616824754205064274e-01,3.012524817598467507e+03
2.463126971645064889e-01,2.930689042757046991e+03
3.291563216543613168e-01,2.829356977961007942e+03
4.109457243155406614e-01,2.743969686634175105e+03
4.929016331859757405e-01,2.674651961348228724e+03
5.748137646877394813e-01,2.612193390498623103e+03
6.567375270856404823e-01,2.554858079164276205e+03
7.386582338555830463e-01,2.501288209705522604e+03
8.205797396038811975e-01,2.450831885069513191e+03
9.025010379227724755e-01,2.403021704219927869e+03
9.844223897925729050e-01,2.357558577840074122e+03
1.066343727938400932e+00,2.314220180704665381e+03
1.148265069580810538e+00,2.272836754665556782e+03
1.230186410339564107e+00,2.233273610228652615e+03
1.312107751320178428e+00,2.195412393551396690e+03
1.394029092245605117e+00,2.159167372785765565e+03
1.475950433184640254e+00,2.124443074431575496e+03
1.557871774120355601e+00,2.091160499017517850e+03
1.639793115056873418e+00,2.059246284069108697e+03
1.721714455993198944e+00,2.028631508071018970e+03
1.803635796929570434e+00,1.999250931617135166e+03
1.885557137865930599e+00,1.971042523313451511e+03
1.967478478802293207e+00,1.943947128244705937e+03
2.049399819738655815e+00,1.917908452971144470e+03
2.131321160675018422e+00,1.892872671528868750e+03
2.213242501611382362e+00,1.868788659426196091e+03
2.295163842547744970e+00,1.845607653269672937e+03
