Y Position (in), Gas Temperature (K), HTC (W/m^2-K)
-4.94E+00,3.24E+03,3.94E+03
-4.87E+00,3.24E+03,3.94E+03
-4.79E+00,3.24E+03,3.93E+03
-4.71E+00,3.24E+03,3.93E+03
-4.64E+00,3.24E+03,3.92E+03
-4.56E+00,3.24E+03,3.91E+03
-4.48E+00,3.24E+03,3.90E+03
-4.41E+00,3.24E+03,3.89E+03
-4.33E+00,3.24E+03,3.88E+03
-4.26E+00,3.24E+03,3.87E+03
-4.18E+00,3.24E+03,3.86E+03
-4.10E+00,3.24E+03,3.85E+03
-4.03E+00,3.24E+03,3.84E+03
-3.95E+00,3.24E+03,3.83E+03
-3.87E+00,3.24E+03,3.82E+03
-3.80E+00,3.24E+03,3.81E+03
-3.72E+00,3.24E+03,3.80E+03
-3.65E+00,3.24E+03,3.79E+03
-3.57E+00,3.24E+03,3.78E+03
-3.49E+00,3.24E+03,3.77E+03
-3.42E+00,3.24E+03,3.76E+03
-3.34E+00,3.24E+03,3.75E+03
-3.26E+00,3.24E+03,3.74E+03
-3.19E+00,3.24E+03,3.73E+03
-3.11E+00,3.24E+03,3.73E+03
-3.03E+00,3.24E+03,3.72E+03
-2.96E+00,3.24E+03,3.71E+03
-2.88E+00,3.24E+03,3.70E+03
-2.81E+00,3.24E+03,3.69E+03
-2.73E+00,3.24E+03,3.68E+03
-2.65E+00,3.24E+03,3.67E+03
-2.58E+00,3.24E+03,3.66E+03
-2.50E+00,3.24E+03,3.65E+03
-2.42E+00,3.24E+03,3.64E+03
-2.35E+00,3.24E+03,3.63E+03
-2.27E+00,3.24E+03,3.62E+03
-2.19E+00,3.24E+03,3.61E+03
-2.12E+00,3.24E+03,3.60E+03
-2.04E+00,3.24E+03,3.59E+03
-1.97E+00,3.24E+03,3.58E+03
-1.89E+00,3.24E+03,3.57E+03
-1.81E+00,3.24E+03,3.56E+03
-1.74E+00,3.24E+03,3.56E+03
-1.66E+00,3.24E+03,3.55E+03
-1.58E+00,3.24E+03,3.54E+03
-1.51E+00,3.24E+03,3.53E+03
-1.43E+00,3.24E+03,3.52E+03
-1.36E+00,3.24E+03,3.51E+03
-1.28E+00,3.24E+03,3.50E+03
-1.20E+00,3.24E+03,3.49E+03
-1.13E+00,3.24E+03,3.48E+03
-1.05E+00,3.24E+03,3.47E+03
-9.74E-01,3.24E+03,3.46E+03
-8.98E-01,3.24E+03,3.47E+03
-8.30E-01,3.24E+03,3.63E+03
-7.78E-01,3.24E+03,3.91E+03
-7.25E-01,3.24E+03,4.23E+03
-6.70E-01,3.24E+03,4.58E+03
-6.17E-01,3.24E+03,4.98E+03
-5.63E-01,3.24E+03,5.44E+03
-5.09E-01,3.23E+03,5.98E+03
-4.55E-01,3.23E+03,6.59E+03
-4.01E-01,3.22E+03,7.32E+03
-3.47E-01,3.22E+03,8.17E+03
-2.93E-01,3.20E+03,9.20E+03
-2.38E-01,3.19E+03,1.04E+04
-1.87E-01,3.15E+03,1.19E+04
-1.33E-01,3.06E+03,1.36E+04
-5.56E-02,3.02E+03,1.36E+04
1.88E-02,3.02E+03,1.36E+04
9.54E-02,2.96E+03,1.30E+04
1.71E-01,2.87E+03,1.16E+04
2.45E-01,2.78E+03,9.96E+03
3.19E-01,2.72E+03,8.78E+03
3.93E-01,2.65E+03,7.81E+03
4.67E-01,2.60E+03,6.99E+03
5.41E-01,2.55E+03,6.29E+03
6.15E-01,2.50E+03,5.68E+03
6.89E-01,2.45E+03,5.15E+03
7.63E-01,2.41E+03,4.69E+03
8.37E-01,2.37E+03,4.28E+03
9.11E-01,2.33E+03,3.92E+03
9.85E-01,2.29E+03,3.60E+03
1.06E+00,2.26E+03,3.31E+03
1.13E+00,2.22E+03,3.06E+03
1.21E+00,2.19E+03,2.83E+03
1.28E+00,2.15E+03,2.62E+03
1.36E+00,2.12E+03,2.44E+03
1.43E+00,2.09E+03,2.27E+03
1.50E+00,2.06E+03,2.12E+03
1.58E+00,2.04E+03,1.98E+03
1.65E+00,2.01E+03,1.86E+03
1.73E+00,1.98E+03,1.74E+03
1.80E+00,1.96E+03,1.64E+03
1.87E+00,1.93E+03,1.55E+03
1.95E+00,1.91E+03,1.46E+03
2.02E+00,1.89E+03,1.38E+03
2.10E+00,1.87E+03,1.31E+03
2.17E+00,1.85E+03,1.24E+03
