Y Position (in), HTC (W/m^2-K)
-4.875499999999999723e+00,3.955664664333575274e+03
-4.799639443677296669e+00,3.955664664333575274e+03
-4.723778887354594502e+00,3.955664664333575274e+03
-4.647918331031891448e+00,3.955664664333575274e+03
-4.572057774709188394e+00,3.955664664333575274e+03
-4.496197218386486227e+00,3.955664664333575274e+03
-4.420336662063783173e+00,3.955664664333575274e+03
-4.344476105741080119e+00,3.955664664333575274e+03
-4.268615549418377952e+00,3.955664664333575274e+03
-4.192754993095674898e+00,3.955664664333575274e+03
-4.116894436772971844e+00,3.955664664333575274e+03
-4.041033880450269677e+00,3.955664664333575274e+03
-3.965173324127566623e+00,3.955664664333575274e+03
-3.889312767804863569e+00,3.955664664333575274e+03
-3.813452211482160958e+00,3.955664664333575274e+03
-3.737591655159458348e+00,3.955664664333575274e+03
-3.661731098836755294e+00,3.955664664333575274e+03
-3.585870542514052683e+00,3.955664664333575274e+03
-3.510009986191350073e+00,3.955664664333575274e+03
-3.434149429868647019e+00,3.955664664333575274e+03
-3.358288873545944409e+00,3.955664664333575274e+03
-3.282428317223241798e+00,3.955664664333575274e+03
-3.206567760900538744e+00,3.955664664333575274e+03
-3.130707204577836134e+00,3.955664664333575274e+03
-3.054846648255133523e+00,3.955664664333575274e+03
-2.978986091932430469e+00,3.955664664333575274e+03
-2.903125535609727859e+00,3.955664664333575274e+03
-2.827264979287025248e+00,3.955664664333575274e+03
-2.751404422964322194e+00,3.955664664333575274e+03
-2.675543866641619584e+00,3.955664664333575274e+03
-2.599683310318916973e+00,3.955664664333575274e+03
-2.523822753996213919e+00,3.955664664333575274e+03
-2.447962197673511309e+00,3.955664664333575274e+03
-2.372101641350808698e+00,3.955664664333575274e+03
-2.296241085028105644e+00,3.955664664333575274e+03
-2.220380528705403034e+00,3.955664664333575274e+03
-2.144519972382700423e+00,3.955664664333575274e+03
-2.068659416059997369e+00,3.955664664333575274e+03
-1.992798859737294759e+00,3.955664664333575274e+03
-1.916938303414592148e+00,3.955664664333575274e+03
-1.841077747091889094e+00,3.955664664333575274e+03
-1.765217190769186484e+00,3.955664664333575274e+03
-1.689356634446483874e+00,3.955664664333575274e+03
-1.613496078123780819e+00,3.955664664333575274e+03
-1.537635521801078209e+00,3.955664664333575274e+03
-1.461774965478375599e+00,3.955664664333575274e+03
-1.385914409155672544e+00,3.955664664333575274e+03
-1.310053852832969934e+00,3.955664664333575274e+03
-1.234193296510267324e+00,3.955664664333575274e+03
-1.158332740187564269e+00,3.955664664333575274e+03
-1.082472183864861659e+00,3.955664664333575274e+03
-1.006611627542158605e+00,3.955664664333575274e+03
-9.307510712194559943e-01,3.955664664333575274e+03
-8.548905148967529399e-01,3.955664664333575274e+03
-7.832993315013192515e-01,4.041361330161751084e+03
-7.284958618736366853e-01,4.303618956284292835e+03
-6.763705294922772726e-01,4.619499114649332114e+03
-6.214936756104418869e-01,4.953881762534474547e+03
-5.676669670603218254e-01,5.341992359440219843e+03
-5.136253198977565049e-01,5.782053020352855128e+03
-4.595532892175231976e-01,6.286316295849197559e+03
-4.055469081158977751e-01,6.869601318829088996e+03
-3.514737212665012822e-01,7.547434506246909223e+03
-2.974206112989264961e-01,8.343131647275962678e+03
-2.436557801927703992e-01,9.291172670871212176e+03
-1.886086601290510034e-01,1.038747224509589250e+04
-1.367226685448255652e-01,1.178970459392267185e+04
-8.245917749399228613e-02,1.331886444544428741e+04
-8.446412769753663952e-03,1.351650156083258298e+04
6.385518558395657240e-02,1.330751450168332849e+04
1.342335247973045209e-01,1.099496506365264213e+04
2.047237235065939021e-01,9.648975154690484487e+03
2.751988434651445603e-01,8.574371073011181579e+03
3.456792329064318769e-01,7.678855471721155482e+03
4.161583597252920819e-01,6.914944887119138002e+03
4.866378211227664341e-01,6.254993975682483324e+03
5.571171961891027147e-01,5.679739492303167935e+03
6.275965935474606683e-01,5.175211202820059043e+03
6.980759852585592951e-01,4.730124227636387332e+03
7.685553784011469602e-01,4.335842840032303684e+03
8.390347711804335695e-01,3.985241028644705239e+03
9.095141640520939541e-01,3.672429326632443463e+03
9.799935569002156122e-01,3.392478968782131233e+03
1.050472949754348573e+00,3.141233438831186504e+03
1.120952342606949870e+00,2.915100556707101077e+03
1.191431735459935526e+00,2.711174213691926525e+03
1.261911128312826591e+00,2.526761014454362794e+03
1.332390521165741859e+00,2.359612282714625508e+03
1.402869914018650466e+00,2.207775128813682841e+03
1.473349306871560183e+00,2.069550852523500907e+03
1.543828699724469233e+00,1.943454978878805150e+03
1.614308092577378950e+00,1.828187191347968792e+03
1.684787485430287557e+00,1.722607557535308160e+03
1.755266878283196164e+00,1.625712517241749538e+03
1.825746271136105214e+00,1.536618020321564018e+03
1.896225663989014487e+00,1.454542895569503116e+03
1.966705056841923094e+00,1.378796185124375597e+03
2.037184449694832367e+00,1.308765550866232161e+03
2.107663842547744970e+00,1.243906963190510169e+03
