Y Position (in), HTC (W/m^2-K)
6.000000000000000000e+00,3.965029316419700990e+03
5.918681325958131900e+00,3.965029316419700990e+03
5.837362651916262912e+00,3.965029316419700990e+03
5.756043977874394812e+00,3.965029316419700990e+03
5.674725303832526713e+00,3.965029316419700990e+03
5.593406629790658613e+00,3.965029316419700990e+03
5.512087955748789625e+00,3.965029316419700990e+03
5.430769281706921525e+00,3.965029316419700990e+03
5.349450607665053425e+00,3.965029316419700990e+03
5.268131933623184437e+00,3.965029316419700990e+03
5.186813259581316338e+00,3.965029316419700990e+03
5.105494585539448238e+00,3.965029316419700990e+03
5.024175911497580138e+00,3.965029316419700990e+03
4.942857237455711150e+00,3.965029316419700990e+03
4.861538563413843050e+00,3.965029316419700990e+03
4.780219889371974951e+00,3.965029316419700990e+03
4.698901215330106851e+00,3.965029316419700990e+03
4.617582541288237863e+00,3.965029316419700990e+03
4.536263867246369763e+00,3.965029316419700990e+03
4.454945193204501663e+00,3.965029316419700990e+03
4.373626519162632675e+00,3.965029316419700990e+03
4.292307845120764576e+00,3.965029316419700990e+03
4.210989171078896476e+00,3.965029316419700990e+03
4.129670497037027488e+00,3.965029316419700990e+03
4.048351822995159388e+00,3.965029316419700990e+03
3.967033148953291288e+00,3.965029316419700990e+03
3.885714474911422744e+00,3.965029316419700990e+03
3.804395800869554645e+00,3.965029316419700990e+03
3.723077126827686101e+00,3.965029316419700990e+03
3.641758452785818001e+00,3.965029316419700990e+03
3.560439778743949457e+00,3.965029316419700990e+03
3.479121104702081357e+00,3.965029316419700990e+03
3.397802430660212814e+00,3.965029316419700990e+03
3.316483756618344270e+00,3.965029316419700990e+03
3.235165082576476170e+00,3.965029316419700990e+03
3.153846408534607626e+00,3.965029316419700990e+03
3.072527734492739526e+00,3.965029316419700990e+03
2.991209060450870982e+00,3.965029316419700990e+03
2.909890386409002883e+00,3.965029316419700990e+03
2.828571712367134339e+00,3.965029316419700990e+03
2.747253038325266239e+00,3.965029316419700990e+03
2.665934364283397695e+00,3.965029316419700990e+03
2.584615690241529151e+00,3.965029316419700990e+03
2.503297016199661051e+00,3.965029316419700990e+03
2.421978342157792508e+00,3.965029316419700990e+03
2.340659668115924408e+00,3.965029316419700990e+03
2.259340994074055864e+00,3.965029316419700990e+03
2.178022320032187764e+00,3.965029316419700990e+03
2.096703645990319220e+00,3.965029316419700990e+03
2.015384971948450676e+00,3.965029316419700990e+03
1.934066297906582355e+00,3.965029316419700990e+03
1.853197086912974800e+00,3.952971413809420937e+03
1.772516845532900565e+00,3.958698533418338684e+03
1.692357175586845397e+00,3.991321405301555842e+03
1.612894957580995881e+00,4.048401837306220841e+03
1.534341110935692809e+00,4.131165920482318143e+03
1.456956537860607304e+00,4.242962367747097232e+03
1.380910427008573693e+00,4.386162955030361445e+03
1.306508876459056223e+00,4.566725871923266823e+03
1.234118396835258924e+00,4.792968198715304425e+03
1.163064382488256721e+00,5.059862771450963919e+03
1.092511580179525543e+00,5.360648127146256229e+03
1.022303544162122435e+00,5.698298284157737726e+03
9.523599581668213965e-01,6.077547843258276771e+03
8.825974893706862723e-01,6.503853842799246195e+03
8.129307996063205310e-01,6.983478330837566318e+03
7.432704118109936253e-01,7.523475639719673381e+03
6.735162060929696937e-01,8.131445862575935280e+03
6.035669983706419828e-01,8.815517949348401089e+03
5.333241609470970035e-01,9.584007305037026526e+03
4.626930420963790702e-01,1.044449760507118117e+04
3.912190762301331337e-01,1.138151129929790841e+04
3.168644888885571720e-01,1.224540937556342578e+04
2.399194830644806598e-01,1.295175260823741155e+04
1.610584999164094699e-01,1.343413964362687693e+04
8.090188160167656461e-02,1.363393091736689348e+04
-0.000000000000000000e+00,1.351874287560693483e+04
-7.836538260085092189e-02,1.241056923359094071e+04
-1.554905683795929083e-01,1.089952533376018800e+04
-2.299282841313456949e-01,9.185500189515376405e+03
-3.017594982258766656e-01,7.588905252903199653e+03
-3.737354275693641759e-01,6.381958104389109394e+03
-4.460363056038632590e-01,5.448211979454613356e+03
-5.186524518659786365e-01,4.709066641332648942e+03
-5.915673864314344721e-01,4.113972867095393667e+03
-6.647652108027749529e-01,3.628287538031174336e+03
-7.382309873762035179e-01,3.227295712669300883e+03
-8.119506702215030236e-01,2.892805809696334109e+03
-8.859110421169469340e-01,2.611342613736134808e+03
-9.600996603110775185e-01,2.372445792471145978e+03
-1.034504807289059469e+00,2.168124385253760920e+03
-1.109115443989302507e+00,1.992130980515316651e+03
-1.183921165843063728e+00,1.839533863702341478e+03
-1.258912162998591322e+00,1.706404285209456020e+03
-1.334079182948506359e+00,1.589587005083790473e+03
-1.409413501976741756e+00,1.486528325305836006e+03
-1.484906823562738953e+00,1.395146377567776426e+03
-1.560550739106629337e+00,1.313725162437892095e+03
-1.636339975735494168e+00,1.240880578791435937e+03
