Z Position (m), HTC (W/m^2-K)
6,3.965029316419700990e+03
5.92,3.965029316419700990e+03
5.84,3.965029316419700990e+03
5.76,3.965029316419700990e+03
5.67,3.965029316419700990e+03
5.59,3.965029316419700990e+03
5.51,3.965029316419700990e+03
5.43,3.965029316419700990e+03
5.35,3.965029316419700990e+03
5.27,3.965029316419700990e+03
5.19,3.965029316419700990e+03
5.11,3.965029316419700990e+03
5.02,3.965029316419700990e+03
4.94,3.965029316419700990e+03
4.86,3.965029316419700990e+03
4.78,3.965029316419700990e+03
4.7,3.965029316419700990e+03
4.62,3.965029316419700990e+03
4.54,3.965029316419700990e+03
4.45,3.965029316419700990e+03
4.37,3.965029316419700990e+03
4.29,3.965029316419700990e+03
4.21,3.965029316419700990e+03
4.13,3.965029316419700990e+03
4.05,3.965029316419700990e+03
3.97,3.965029316419700990e+03
3.89,3.965029316419700990e+03
3.8,3.965029316419700990e+03
3.72,3.965029316419700990e+03
3.64,3.965029316419700990e+03
3.56,3.965029316419700990e+03
3.48,3.965029316419700990e+03
3.4,3.965029316419700990e+03
3.32,3.965029316419700990e+03
3.24,3.965029316419700990e+03
3.15,3.965029316419700990e+03
3.07,3.965029316419700990e+03
2.99,3.965029316419700990e+03
2.91,3.965029316419700990e+03
2.83,3.965029316419700990e+03
2.75,3.965029316419700990e+03
2.67,3.965029316419700990e+03
2.58,3.965029316419700990e+03
2.5,3.965029316419700990e+03
2.42,3.965029316419700990e+03
2.34,3.965029316419700990e+03
2.26,3.965029316419700990e+03
2.18,3.965029316419700990e+03
2.1,3.965029316419700990e+03
2.02,3.965029316419700990e+03
1.93,3.965029316419700990e+03
1.85,3.952971413809420937e+03
1.77,3.958698533418338684e+03
1.69,3.991321405301555842e+03
1.61,4.048401837306220841e+03
1.53,4.131165920482318143e+03
1.46,4.242962367747097232e+03
1.38,4.386162955030361445e+03
1.31,4.566725871923266823e+03
1.23,4.792968198715304425e+03
1.16,5.059862771450963919e+03
1.09,5.360648127146256229e+03
1.02,5.698298284157737726e+03
0.952,6.077547843258276771e+03
0.883,6.503853842799246195e+03
0.813,6.983478330837566318e+03
0.743,7.523475639719673381e+03
0.674,8.131445862575935280e+03
0.604,8.815517949348401089e+03
0.533,9.584007305037026526e+03
0.463,1.044449760507118117e+04
0.391,1.138151129929790841e+04
0.317,1.224540937556342578e+04
0.24,1.295175260823741155e+04
0.161,1.343413964362687693e+04
0.0809,1.363393091736689348e+04
0,1.351874287560693483e+04
-0.078365383,1.241056923359094071e+04
-0.155490568,1.089952533376018800e+04
-0.229928284,9.185500189515376405e+03
-0.301759498,7.588905252903199653e+03
-0.373735428,6.381958104389109394e+03
-0.446036306,5.448211979454613356e+03
-0.518652452,4.709066641332648942e+03
-0.591567386,4.113972867095393667e+03
-0.664765211,3.628287538031174336e+03
-0.738230987,3.227295712669300883e+03
-0.81195067,2.892805809696334109e+03
-0.885911042,2.611342613736134808e+03
-0.96009966,2.372445792471145978e+03
-1.034504807,2.168124385253760920e+03
-1.109115444,1.992130980515316651e+03
-1.183921166,1.839533863702341478e+03
-1.258912163,1.706404285209456020e+03
-1.334079183,1.589587005083790473e+03
-1.409413502,1.486528325305836006e+03
-1.484906824,1.395146377567776426e+03
-1.560550739,1.313725162437892095e+03
-1.636339976,1.240880578791435937e+03
