X Position (in), HTC (W/m^2-K), Gas Temperature (K)
-4.88E+00,3.94E+03,3.24E+03
-4.80E+00,3.94E+03,3.24E+03
-4.73E+00,3.93E+03,3.24E+03
-4.66E+00,3.93E+03,3.24E+03
-4.58E+00,3.92E+03,3.24E+03
-4.51E+00,3.91E+03,3.24E+03
-4.43E+00,3.90E+03,3.24E+03
-4.36E+00,3.89E+03,3.24E+03
-4.28E+00,3.88E+03,3.24E+03
-4.21E+00,3.87E+03,3.24E+03
-4.13E+00,3.86E+03,3.24E+03
-4.06E+00,3.85E+03,3.24E+03
-3.98E+00,3.84E+03,3.24E+03
-3.91E+00,3.83E+03,3.24E+03
-3.83E+00,3.82E+03,3.24E+03
-3.76E+00,3.81E+03,3.24E+03
-3.68E+00,3.80E+03,3.24E+03
-3.61E+00,3.79E+03,3.24E+03
-3.53E+00,3.78E+03,3.24E+03
-3.46E+00,3.77E+03,3.24E+03
-3.38E+00,3.76E+03,3.24E+03
-3.31E+00,3.75E+03,3.24E+03
-3.23E+00,3.74E+03,3.24E+03
-3.16E+00,3.73E+03,3.24E+03
-3.08E+00,3.73E+03,3.24E+03
-3.01E+00,3.72E+03,3.24E+03
-2.93E+00,3.71E+03,3.24E+03
-2.86E+00,3.70E+03,3.24E+03
-2.78E+00,3.69E+03,3.24E+03
-2.71E+00,3.68E+03,3.24E+03
-2.63E+00,3.67E+03,3.24E+03
-2.56E+00,3.66E+03,3.24E+03
-2.48E+00,3.65E+03,3.24E+03
-2.41E+00,3.64E+03,3.24E+03
-2.33E+00,3.63E+03,3.24E+03
-2.26E+00,3.62E+03,3.24E+03
-2.18E+00,3.61E+03,3.24E+03
-2.11E+00,3.60E+03,3.24E+03
-2.03E+00,3.59E+03,3.24E+03
-1.96E+00,3.58E+03,3.24E+03
-1.88E+00,3.57E+03,3.24E+03
-1.81E+00,3.56E+03,3.24E+03
-1.73E+00,3.56E+03,3.24E+03
-1.66E+00,3.55E+03,3.24E+03
-1.58E+00,3.54E+03,3.24E+03
-1.51E+00,3.53E+03,3.24E+03
-1.43E+00,3.52E+03,3.24E+03
-1.36E+00,3.51E+03,3.24E+03
-1.28E+00,3.50E+03,3.24E+03
-1.21E+00,3.49E+03,3.24E+03
-1.13E+00,3.48E+03,3.24E+03
-1.06E+00,3.47E+03,3.24E+03
-9.81E-01,3.46E+03,3.24E+03
-9.06E-01,3.45E+03,3.24E+03
-8.32E-01,3.46E+03,3.24E+03
-7.66E-01,3.62E+03,3.24E+03
-7.15E-01,3.90E+03,3.24E+03
-6.63E-01,4.21E+03,3.24E+03
-6.09E-01,4.55E+03,3.24E+03
-5.56E-01,4.95E+03,3.24E+03
-5.03E-01,5.40E+03,3.24E+03
-4.50E-01,5.91E+03,3.23E+03
-3.97E-01,6.51E+03,3.23E+03
-3.44E-01,7.21E+03,3.22E+03
-2.91E-01,8.03E+03,3.22E+03
-2.38E-01,9.01E+03,3.21E+03
-1.84E-01,1.01E+04,3.19E+03
-1.34E-01,1.16E+04,3.16E+03
-7.98E-02,1.32E+04,3.09E+03
-8.45E-03,1.36E+04,3.02E+03
6.79E-02,1.29E+04,2.95E+03
1.41E-01,1.08E+04,2.83E+03
2.13E-01,9.44E+03,2.75E+03
2.86E-01,8.37E+03,2.69E+03
3.59E-01,7.48E+03,2.63E+03
4.32E-01,6.72E+03,2.58E+03
5.05E-01,6.06E+03,2.53E+03
5.78E-01,5.49E+03,2.48E+03
6.51E-01,4.99E+03,2.44E+03
7.23E-01,4.56E+03,2.40E+03
7.96E-01,4.17E+03,2.36E+03
8.69E-01,3.83E+03,2.32E+03
9.42E-01,3.52E+03,2.28E+03
1.01E+00,3.25E+03,2.25E+03
1.09E+00,3.00E+03,2.21E+03
1.16E+00,2.78E+03,2.18E+03
1.23E+00,2.58E+03,2.15E+03
1.31E+00,2.41E+03,2.12E+03
1.38E+00,2.25E+03,2.09E+03
1.45E+00,2.10E+03,2.06E+03
1.52E+00,1.97E+03,2.03E+03
1.60E+00,1.84E+03,2.01E+03
1.67E+00,1.73E+03,1.98E+03
1.74E+00,1.63E+03,1.96E+03
1.82E+00,1.54E+03,1.93E+03
1.89E+00,1.46E+03,1.91E+03
1.96E+00,1.38E+03,1.89E+03
2.03E+00,1.30E+03,1.87E+03
2.11E+00,1.24E+03,1.85E+03
