Y Position (in), HTC (W/m^2-K), Gas Temperature (K)
-5.61E+00,3.944551159249260309e+03,3.243269074882395671e+03
-5.53E+00,3.944551159249260309e+03,3.243269074882395671e+03
-5.45E+00,3.935615100854174671e+03,3.243266822760765081e+03
-5.36E+00,3.926683416002622380e+03,3.243264570748744973e+03
-5.28E+00,3.917756104123493060e+03,3.243262318846326252e+03
-5.20E+00,3.908833164648951424e+03,3.243260067053498915e+03
-5.12E+00,3.899914597014417268e+03,3.243257815370254775e+03
-5.03E+00,3.891000400658584567e+03,3.243255563796583374e+03
-4.95E+00,3.882090575023413749e+03,3.243253312332476980e+03
-4.87E+00,3.873185119554145786e+03,3.243251060977924681e+03
-4.78E+00,3.864284033699294923e+03,3.243248809732918744e+03
-4.70E+00,3.855387316910667323e+03,3.243246558597448711e+03
-4.62E+00,3.846494968643342872e+03,3.243244307571505487e+03
-4.54E+00,3.837606988355702470e+03,3.243242056655080887e+03
-4.45E+00,3.828723375509423931e+03,3.243239805848164451e+03
-4.37E+00,3.819844129569466531e+03,3.243237555150746630e+03
-4.29E+00,3.810969250004112382e+03,3.243235304562819692e+03
-4.20E+00,3.802098736284931874e+03,3.243233054084373634e+03
-4.12E+00,3.793232587886812780e+03,3.243230803715398906e+03
-4.04E+00,3.784370804287954797e+03,3.243228553455886413e+03
-3.96E+00,3.775513384969875460e+03,3.243226303305827514e+03
-3.87E+00,3.766660329417411049e+03,3.243224053265211296e+03
-3.79E+00,3.757811637118722956e+03,3.243221803334030483e+03
-3.71E+00,3.748967307565307237e+03,3.243219553512275525e+03
-3.62E+00,3.740127340251983242e+03,3.243217303799935507e+03
-3.54E+00,3.731291734676912256e+03,3.243215054197003155e+03
-3.46E+00,3.722460490341599325e+03,3.243212804703468464e+03
-3.38E+00,3.713633606750885065e+03,3.243210555319321429e+03
-3.29E+00,3.704811083412967946e+03,3.243208306044553865e+03
-3.21E+00,3.695992919839390197e+03,3.243206056879156222e+03
-3.13E+00,3.687179115545088735e+03,3.243203807823119405e+03
-3.04E+00,3.678369670048147782e+03,3.243201558876434319e+03
-2.96E+00,3.669564582871103084e+03,3.243199310039089596e+03
-2.88E+00,3.660763853534630016e+03,3.243197061311086145e+03
-2.80E+00,3.651967481586842950e+03,3.243194812692368032e+03
-2.71E+00,3.643175466472487642e+03,3.243192564183132163e+03
-2.63E+00,3.634387808099729227e+03,3.243190315782484959e+03
-2.55E+00,3.625604504442786038e+03,3.243188067494133520e+03
-2.46E+00,3.616825561481261957e+03,3.243185819302731943e+03
-2.38E+00,3.608050952700652033e+03,3.243183571270539233e+03
-2.30E+00,3.599280781571990701e+03,3.243181323148479805e+03
-2.22E+00,3.590514638969560565e+03,3.243179075918973922e+03
-2.13E+00,3.581754110202782613e+03,3.243176825758613177e+03
-2.05E+00,3.572993123326955356e+03,3.243174587349873946e+03
-1.97E+00,3.564254607520265836e+03,3.243172305075632266e+03
-1.88E+00,3.555453218412187198e+03,3.243170186579808615e+03
-1.80E+00,3.546901578867013086e+03,3.243167468947599900e+03
-1.72E+00,3.537474573920126204e+03,3.243166905901441623e+03
-1.64E+00,3.531124144610703752e+03,3.243158795714436110e+03
-1.55E+00,3.522930809861411490e+03,3.243155232154201258e+03
-1.48E+00,3.684802911878909072e+03,3.242719695030466028e+03
-1.41E+00,3.907676002563980092e+03,3.242083533832776538e+03
-1.34E+00,4.133037748614465272e+03,3.241383963988411779e+03
-1.26E+00,4.387506990269273956e+03,3.240528378883391724e+03
-1.19E+00,4.665195273512437780e+03,3.239510521469038395e+03
-1.12E+00,4.972653119731984589e+03,3.238277524609625289e+03
-1.05E+00,5.313263682285195500e+03,3.236775263217581141e+03
-9.77E-01,5.692338909539620545e+03,3.234925919398314818e+03
-9.05E-01,6.115900806689573983e+03,3.232624515576696922e+03
-8.34E-01,6.591250675342135764e+03,3.229724133866918692e+03
-7.62E-01,7.127233297286995366e+03,3.226014069487054257e+03
-6.90E-01,7.734408611568432207e+03,3.221183911955373787e+03
-6.18E-01,8.426260823933916981e+03,3.214749258296789776e+03
-5.47E-01,9.216360998756992558e+03,3.205950945392186441e+03
-4.75E-01,1.013026380031825283e+04,3.193319803441183922e+03
-4.03E-01,1.116529768033316032e+04,3.174491434895188377e+03
-3.32E-01,1.239123433331134402e+04,3.141197865910608925e+03
-2.60E-01,1.363838389815009214e+04,3.060303943039748901e+03
-1.80E-01,1.371234402796055838e+04,3.021081872113215923e+03
-9.27E-02,1.367478218084098989e+04,3.020596699277756670e+03
-7.93E-03,1.363842870049444355e+04,3.020716168675667632e+03
7.687880095859817020e-02,1.360210598651970759e+04,3.021992298883359126e+03
1.616824754205064274e-01,1.356078038096096134e+04,3.012524817598467507e+03
2.463126971645064889e-01,1.257943645876233313e+04,2.930689042757046991e+03
3.291563216543613168e-01,1.078989101471987851e+04,2.829356977961007942e+03
4.109457243155406614e-01,9.273460286571502365e+03,2.743969686634175105e+03
4.929016331859757405e-01,8.122082241963062188e+03,2.674651961348228724e+03
5.748137646877394813e-01,7.169159277819644558e+03,2.612193390498623103e+03
6.567375270856404823e-01,6.370906364028533062e+03,2.554858079164276205e+03
7.386582338555830463e-01,5.691472285345810633e+03,2.501288209705522604e+03
8.205797396038811975e-01,5.108422263439291783e+03,2.450831885069513191e+03
