Y Position (in), Gas Temperature (K)
-4.875499999999999723e+00,3.243269074882395671e+03
-4.804962991489416524e+00,3.243269074882395671e+03
-4.729987444129452712e+00,3.243266656881768540e+03
-4.655011896769488899e+00,3.243264239007493416e+03
-4.580036349409524199e+00,3.243261821259557109e+03
-4.505060802049560387e+00,3.243259403637950072e+03
-4.430085254689597463e+00,3.243256986142660026e+03
-4.355109707329633650e+00,3.243254568773675146e+03
-4.280134159969669838e+00,3.243252151530984520e+03
-4.205158612609706026e+00,3.243249734414575869e+03
-4.130183065249741325e+00,3.243247317424438734e+03
-4.055207517889777513e+00,3.243244900560561746e+03
-3.980231970529813701e+00,3.243242483822932627e+03
-3.905256423169849889e+00,3.243240067211539554e+03
-3.830280875809886076e+00,3.243237650726372976e+03
-3.755305328449922264e+00,3.243235234367419253e+03
-3.680329781089958452e+00,3.243232818134668832e+03
-3.605354233729994640e+00,3.243230402028108983e+03
-3.530378686370030383e+00,3.243227986047728336e+03
-3.455403139010066571e+00,3.243225570193515978e+03
-3.380427591650102759e+00,3.243223154465460084e+03
-3.305452044290138947e+00,3.243220738863549741e+03
-3.230476496930174690e+00,3.243218323387772671e+03
-3.155500949570211322e+00,3.243215908038117959e+03
-3.080525402210247066e+00,3.243213492814574693e+03
-3.005549854850283253e+00,3.243211077717129683e+03
-2.930574307490319441e+00,3.243208662745773381e+03
-2.855598760130355629e+00,3.243206247900493508e+03
-2.780623212770391373e+00,3.243203833181279151e+03
-2.705647665410428004e+00,3.243201418588118486e+03
-2.630672118050463748e+00,3.243199004120999234e+03
-2.555696570690499936e+00,3.243196589779911847e+03
-2.480721023330536124e+00,3.243194175564843135e+03
-2.405745475970572311e+00,3.243191761475782641e+03
-2.330769928610608499e+00,3.243189347512718086e+03
-2.255794381250644687e+00,3.243186933675639466e+03
-2.180818833890680875e+00,3.243184519964534047e+03
-2.105843286530717062e+00,3.243182106379389552e+03
-2.030867739170752806e+00,3.243179692920206435e+03
-1.955892191810789660e+00,3.243177279586912391e+03
-1.880916644450824959e+00,3.243174866379764353e+03
-1.805941097090868697e+00,3.243172453297636366e+03
-1.730965549730865805e+00,3.243170040344963581e+03
-1.655990002370971936e+00,3.243167627504647498e+03
-1.581014455010506525e+00,3.243165214839714281e+03
-1.506038907653805881e+00,3.243162802128818839e+03
-1.431063360283405528e+00,3.243160390098318203e+03
-1.356087812943883586e+00,3.243157976609231810e+03
-1.281112265402178929e+00,3.243155566681699383e+03
-1.206136719059389018e+00,3.243153156031497929e+03
-1.131161173950084864e+00,3.243150693874419176e+03
-1.056185696357270443e+00,3.243148658939170673e+03
-9.812113674391009788e-01,3.243144086278469786e+03
-9.062565853286588258e-01,3.243152558420424612e+03
-8.317722444394960446e-01,3.243089791140804209e+03
-7.661504910084743214e-01,3.242647796781237048e+03
-7.152282864522498951e-01,3.241814962951017151e+03
-6.626621868202829946e-01,3.240802888197971697e+03
-6.091355290975579706e-01,3.239552471432948551e+03
-5.563263890795061561e-01,3.237939146452068144e+03
-5.032708952376967471e-01,3.235863846996417578e+03
-4.502430490102311000e-01,3.233137031602902880e+03
-3.972575027464876340e-01,3.229481201803064323e+03
-3.441905722563460834e-01,3.224472655688191026e+03
-2.912038213394647079e-01,3.217375449021065378e+03
-2.384156377228013046e-01,3.206857913205903969e+03
-1.843404268638335897e-01,3.190838737357997616e+03
-1.338823385280167866e-01,3.160686977938767086e+03
-7.980520266224166992e-02,3.094937544829650506e+03
-8.446412769753663952e-03,3.020561952435048624e+03
6.786679180954380275e-02,2.950131150372899356e+03
1.405010766194077776e-01,2.828022135472253467e+03
2.134214790876646783e-01,2.753837988356995993e+03
2.862555398968923970e-01,2.690009922200666097e+03
3.591182617279702893e-01,2.633044735351243162e+03
4.319724365364044361e-01,2.580413811468683889e+03
5.048291292492876892e-01,2.531165344934771838e+03
5.776851004883124530e-01,2.484633411186295689e+03
6.505412731804703919e-01,2.440430640135787144e+03
7.233973901519645811e-01,2.398258499254551225e+03
7.962535223043776256e-01,2.357920904159670044e+03
8.691096503869073508e-01,2.319264407321622457e+03
9.419657795532565547e-01,2.282167861088487825e+03
1.014821908434458297e+00,2.246533669447782358e+03
1.087678037389769425e+00,2.212272363358541952e+03
1.160534166325953187e+00,2.179324622780636673e+03
1.233390295267013936e+00,2.147618058854103310e+03
1.306246424206844781e+00,2.117093066274128432e+03
1.379102553146983379e+00,2.087695363329843076e+03
1.451958682087044927e+00,2.059373918502888500e+03
1.524814811027125350e+00,2.032080356679442275e+03
1.597670939967201775e+00,2.005768759020612379e+03
1.670527068907280199e+00,1.980395031213932270e+03
1.743383197847357291e+00,1.955917084632880687e+03
1.816239326787435271e+00,1.932294522338730985e+03
1.889095455727513251e+00,1.909488617436709546e+03
1.961951584667590343e+00,1.887462263968119714e+03
2.034807713607667878e+00,1.866179910043876589e+03
2.107663842547744970e+00,1.845607653269672483e+03
