X Position (in), Pressure (Pa)
-4.88E+00,2.97E+02
-4.80E+00,2.97E+02
-4.72E+00,2.97E+02
-4.65E+00,2.97E+02
-4.57E+00,2.97E+02
-4.50E+00,2.97E+02
-4.42E+00,2.97E+02
-4.34E+00,2.97E+02
-4.27E+00,2.97E+02
-4.19E+00,2.97E+02
-4.12E+00,2.97E+02
-4.04E+00,2.97E+02
-3.97E+00,2.97E+02
-3.89E+00,2.97E+02
-3.81E+00,2.97E+02
-3.74E+00,2.97E+02
-3.66E+00,2.97E+02
-3.59E+00,2.97E+02
-3.51E+00,2.97E+02
-3.43E+00,2.97E+02
-3.36E+00,2.97E+02
-3.28E+00,2.97E+02
-3.21E+00,2.97E+02
-3.13E+00,2.97E+02
-3.05E+00,2.97E+02
-2.98E+00,2.97E+02
-2.90E+00,2.97E+02
-2.83E+00,2.97E+02
-2.75E+00,2.97E+02
-2.68E+00,2.97E+02
-2.60E+00,2.97E+02
-2.52E+00,2.97E+02
-2.45E+00,2.97E+02
-2.37E+00,2.97E+02
-2.30E+00,2.97E+02
-2.22E+00,2.97E+02
-2.14E+00,2.97E+02
-2.07E+00,2.97E+02
-1.99E+00,2.97E+02
-1.92E+00,2.97E+02
-1.84E+00,2.97E+02
-1.77E+00,2.97E+02
-1.69E+00,2.97E+02
-1.61E+00,2.97E+02
-1.54E+00,2.97E+02
-1.46E+00,2.97E+02
-1.39E+00,2.97E+02
-1.31E+00,2.97E+02
-1.23E+00,2.97E+02
-1.16E+00,2.97E+02
-1.08E+00,2.97E+02
-1.01E+00,2.97E+02
-9.31E-01,2.97E+02
-8.55E-01,2.97E+02
-7.83E-01,2.97E+02
-7.28E-01,2.97E+02
-6.76E-01,2.96E+02
-6.21E-01,2.95E+02
-5.68E-01,2.94E+02
-5.14E-01,2.93E+02
-4.60E-01,2.91E+02
-4.06E-01,2.89E+02
-3.51E-01,2.86E+02
-2.97E-01,2.81E+02
-2.44E-01,2.75E+02
-1.89E-01,2.65E+02
-1.37E-01,2.48E+02
-8.25E-02,2.13E+02
-8.45E-03,1.67E+02
6.39E-02,1.61E+02
1.34E-01,1.18E+02
2.05E-01,9.93E+01
2.75E-01,8.64E+01
3.46E-01,7.63E+01
4.16E-01,6.82E+01
4.87E-01,6.14E+01
5.57E-01,5.56E+01
6.28E-01,5.07E+01
6.98E-01,4.64E+01
7.69E-01,4.27E+01
8.39E-01,3.93E+01
9.10E-01,3.64E+01
9.80E-01,3.38E+01
1.05E+00,3.14E+01
1.12E+00,2.93E+01
1.19E+00,2.73E+01
1.26E+00,2.56E+01
1.33E+00,2.40E+01
1.40E+00,2.26E+01
1.47E+00,2.12E+01
1.54E+00,2.00E+01
1.61E+00,1.89E+01
1.68E+00,1.79E+01
1.76E+00,1.69E+01
1.83E+00,1.60E+01
1.90E+00,1.52E+01
1.97E+00,1.45E+01
2.04E+00,1.38E+01
2.11E+00,1.31E+01
